journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Archives of Endocrinology and Metabolism	2018-11-14	2018-11-14	NA	10.20945/2359-3997000000075	2023-01-04	2359-3997,2359-4292	5	2018-10	8510	545-551	10.20945	Archives of Endocrinology and Metabolism	1	Crossref	29	29	2	Endocrinology, Diabetes and Metabolism	Evaluation of redox profiles in exogenous subclinical hyperthyroidism at two different levels of TSH suppression	journal-article	http://dx.doi.org/10.20945/2359-3997000000075	62	NA	2018-10	en	NA	NA	NA	NA	Bruna Karoline Lima Piazera, Diego Viana Gomes, Patrícia Vigário, Verônica P. Salerno, Mário Vaisman	2018	2	TRUE	3.1	0.429	B2	NA
Journal of Chinese Integrative Medicine	2012-03-18	2017-06-20	2012-03-15	10.3736/jcim20120309	2022-03-31	1672-1977	3	2012-03-15	2046	303-309	10.3736	Journal of Chinese Integrative Medicine Press	1	Crossref	24	24	2	Complementary and alternative medicine	Evaluation of the immediate effects of manual acupuncture on brachial bicep muscle function in healthy individuals and poststroke patients: a study protocol of a parallel-group randomized clinical trial	journal-article	http://dx.doi.org/10.3736/jcim20120309	10	J Chin Integr Med	NA	NA	NA	NA	NA	NA	APS Fragoso	2012	2	FALSE	NA	NA	NA	NA
Fisioterapia Brasil	2018-12-20	2022-12-01	NA	10.33233/fb.v19i2.2292	2022-12-02	2526-9747,1518-9740	2	2018-05-11	18483	127-128	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Exercí­cio resistido na doença do neurônio motor	journal-article	http://dx.doi.org/10.33233/fb.v19i2.2292	19	Fisioter Bras	2018-05-11	NA	NA	NA	NA	NA	Marco Orsini, Manuel Leite Lopes, Victor Hugo Bastos, Silmar Teixeira, Marcos RG De Freitas, Mauricio De Sant'Anna Jr	2018	0	FALSE	NA	NA	B2	NA
Arquivos Brasileiros de Endocrinologia &amp; Metabologia	2014-05-22	2017-05-27	2014-04	10.1590/0004-2730000002968	2023-01-29	0004-2730	3	2014-04	530	274-281	10.1590	FapUNIFESP (SciELO)	1	Crossref	32	32	15	General Medicine,Endocrinology, Diabetes and Metabolism	Exercise is associated with better quality of life in patients on TSH-suppressive therapy with levothyroxine for differentiated thyroid carcinoma	journal-article	http://dx.doi.org/10.1590/0004-2730000002968	58	Arq Bras Endocrinol Metab	NA	NA	NA	NA	NA	NA	Patrícia dos Santos Vigário, Dhiãnah Santini de Oliveira Chachamovitz, Patrícia de Fátima dos Santos Teixeira, Maíra de La Rocque, Maryna Lobo dos Santos, Mário Vaisman	2014	15	TRUE	NA	NA	B2	NA
Respiratory Care	2013-10-09	2023-02-10	2014-05	10.4187/respcare.02587	2023-03-03	0020-1324,1943-3654	5	2013-10-08	2694	678-685	10.4187	Daedalus Enterprises	1	Crossref	0	0	30	Critical Care and Intensive Care Medicine,Pulmonary and Respiratory Medicine,General Medicine	Expiratory Rib Cage Compression in Mechanically Ventilated Subjects: A Randomized Crossover Trial	journal-article	http://dx.doi.org/10.4187/respcare.02587	59	Respir Care	2013-10-08	en	NA	NA	NA	NA	Fernando S Guimarães, Agnaldo J Lopes, Sandra S Constantino, Juan C Lima, Paulo Canuto, Sara Lucia Silveira de Menezes	2013	30	TRUE	4.1	0.656	A3	NA
Fisioterapia e Pesquisa	2012-05-16	2022-01-15	2008	10.1590/s1809-29502008000200016	2022-04-06	1809-2950	2	2008	530	207-213	10.1590	FapUNIFESP (SciELO)	1	Crossref	60	60	1	General Medicine	Fatores de risco para linfedema após câncer de mama: uma revisão da literatura	journal-article	http://dx.doi.org/10.1590/s1809-29502008000200016	15	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	Anke Bergmann, Inês Echenique Mattos, Rosalina Jorge Koifman	2008	1	TRUE	NA	NA	B1	NA
European Journal of Physiotherapy	2017-06-01	2020-10-09	2017-07-03	10.1080/21679169.2017.1332681	2022-07-10	2167-9169,2167-9177	3	2017-05-31	301	160-166	10.1080	Informa UK Limited	1	Crossref	40	40	1	Physical Therapy, Sports Therapy and Rehabilitation	Feasibility of a task-oriented training and muscle-strengthening programme to weight-bearing symmetry after stroke	journal-article	http://dx.doi.org/10.1080/21679169.2017.1332681	19	European Journal of Physiotherapy	2017-05-31	en	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	Camilla Polonini Martins, Erika de Carvalho Rodrigues, Carla Andressa Pedron, Thiago Lemos, Laura Alice Santos de Oliveira	2017	1	FALSE	2.0	0.349	B1	NA
Fisioterapia em Movimento	2010-07-19	2017-05-26	2010-03	10.1590/s0103-51502010000100016	2022-04-05	0103-5150	1	2010-03	530	161-172	10.1590	FapUNIFESP (SciELO)	1	Crossref	30	30	2	Rehabilitation,Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation,Complementary and Manual Therapy	Fisiomotricidade e limiares de dor: efeitos de um programa de exercícios na autonomia funcional de idosas osteoporóticas	journal-article	http://dx.doi.org/10.1590/s0103-51502010000100016	23	Fisioter. mov.	NA	NA	NA	NA	NA	NA	Karla Virgínia Bezerra de Castro, André Luiz dos Santos Silva, Jacqueline Maria Maranhão Pinto Lima, Walter Jacinto Nunes, Maurício Rocha Calomeni, Vernon Furtado da Silva	2010	2	TRUE	0.3	NA	B1	NA
International Journal of Chronic Obstructive Pulmonary Disease	2018-10-10	2018-10-10	NA	10.2147/copd.s173686	2023-03-22	1178-2005	NA	2018-10	301	3281-3295	10.2147	Informa UK Limited	1	Crossref	0	0	13	Public Health, Environmental and Occupational Health,Health Policy,Pulmonary and Respiratory Medicine,General Medicine	Forced oscillation technique for early detection of the effects of smoking and COPD: contribution of fractional-order modeling	journal-article	http://dx.doi.org/10.2147/copd.s173686	Volume 13	COPD	2018-10	en	NA	NA	NA	NA	Caroline O Ribeiro, Alvaro CD Faria, Agnaldo José Lopes, Pedro Lopes de Melo	2018	13	TRUE	NA	0.924	A1	NA
Revista Brasileira de Ciência e Movimento	2021-10-22	2021-10-22	NA	10.31501/rbcm.v25i4.6563	2022-12-29	0103-1716	4	2017-12-05	16587	15	10.31501	Universidade Catolica de Brasilia	1	Crossref	0	0	1	Media Technology	FUNCIONALIDADE E INCAPACIDADE EM PACIENTES COMPROMETIMENTO MUSCULOESQUELÉTICO	journal-article	http://dx.doi.org/10.31501/rbcm.v25i4.6563	25	R. Bras.Ci.e Mov.	2017-12-05	NA	NA	NA	NA	NA	Ariane Dos Santos Wendt, Aline De Oliveira Chaves, Christiano Bertoldo Urtado, Adriana Ribeiro Macedo, Felipe José Jandre dos Reis, Leandro Alberto Calazans Nogueira	2017	1	TRUE	NA	NA	B2	NA
Journal of Physical Therapy Science	2014-07-30	2022-04-13	2014	10.1589/jpts.26.1097	2022-04-13	0915-5287,2187-5626	7	2014	533	1097-1105	10.1589	Society of Physical Therapy Science	1	Crossref	70	70	7	Physical Therapy, Sports Therapy and Rehabilitation	Functional Capacity of Oldest Old Living in a Long-stay Institution in Rio De Janeiro, Brazil	journal-article	http://dx.doi.org/10.1589/jpts.26.1097	26	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Fabiano Moura Dias, Susana Ortiz Costa, Jeter Pereira de Freitas, Adriana da Costa Rocha Pinto, Patrícia dos Santos Vigário, Míriam Raquel Meira Mainenti	2014	7	TRUE	NA	NA	C	NA
European Journal of Physiotherapy	2016-02-12	2020-09-15	2015-10-02	10.3109/21679169.2015.1072244	2023-02-24	2167-9169,2167-9177	4	2015-08-03	301	176-182	10.3109	Informa UK Limited	1	Crossref	40	40	4	Physical Therapy, Sports Therapy and Rehabilitation	Functional capacity, cardiorespiratory fitness and quality of life in spinocerebellar ataxia: Implications for rehabilitation	journal-article	http://dx.doi.org/10.3109/21679169.2015.1072244	17	European Journal of Physiotherapy	2015-08-03	en	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	Laura Alice Santos Oliveira, Erika De Carvalho Rodrigues, Alexandre Gomes Sancho, Míriam Raquel Meira Mainenti, Patrícia Dos Santos Vigário, Agnaldo José Lopes, Thiago Lemos	2015	4	FALSE	2.0	0.349	B1	NA
Archives of Medical Science	2016-03-22	2016-08-11	2016	10.5114/aoms.2016.57582	2022-04-04	1734-1922	NA	2016	3061	78-88	10.5114	Termedia Sp. z.o.o.	1	Crossref	0	0	3	General Medicine	Functional changes are associated with tracheal structural abnormalities in patients with acromegaly	journal-article	http://dx.doi.org/10.5114/aoms.2016.57582	1	aoms	NA	NA	NA	NA	NA	NA	Gustavo Bittencourt Camilo, Fernando Silva Guimarães, Roberto Mogami, Alvaro Camilo Dias Faria, Pedro Lopes Melo, Agnaldo José Lopes	2016	3	TRUE	5.3	0.799	A1	NA
Fisioterapia Brasil	2018-12-20	2022-12-01	NA	10.33233/fb.v19i2.2302	2022-12-02	2526-9747,1518-9740	2	2018-05-11	18483	137-143	10.33233	Convergences Editorial	1	Crossref	0	0	0	General Medicine	Functional gait assessment in patients with relapsing-remitting Multiple Sclerosis and relation to the risk of falls	journal-article	http://dx.doi.org/10.33233/fb.v19i2.2302	19	Fisioter Bras	2018-05-11	NA	NA	NA	NA	NA	Bruno Moraes, Marco Orsini, Rossano Fiorelli, Victor Marinho, Silmar Teixeira, Victor Hugo Bastos, André Matta	2018	0	FALSE	NA	NA	B2	NA
Muscle Ligaments and Tendons Journal	2021-12-02	2021-12-02	NA	10.32098/mltj.04.2021.13	2022-03-30	2240-4554	04	2021-11	9508	704	10.32098	Edra SpA	1	Crossref	0	0	0	Orthopedics and Sports Medicine	Functional Performance of Ankles Between Male and Female Practitioners of Resistance Exercise	journal-article	http://dx.doi.org/10.32098/mltj.04.2021.13	11	Muscle Ligaments and Tendons J	2021-11	NA	NA	NA	NA	NA	M. Braz, A. Souto Maior	2021	0	TRUE	1.4	0.263	A3	NA
Journal of Physical Therapy Science	2014-05-28	2022-04-05	2014	10.1589/jpts.26.721	2023-05-23	0915-5287,2187-5626	5	2014	533	721-730	10.1589	Society of Physical Therapy Science	1	Crossref	49	49	13	Physical Therapy, Sports Therapy and Rehabilitation	Functionality in Women with Breast Cancer: The Use of International Classification of Functioning, Disability and Health (ICF) in Clinical Practice	journal-article	http://dx.doi.org/10.1589/jpts.26.721	26	J Phys Ther Sci	NA	en	NA	NA	NA	NA	Flávia Nascimento de Carvalho, Anke Bergmann, Rosalina Jorge Koifman	2014	13	TRUE	NA	NA	C	NA
Revista Dor	2017-06-01	2017-06-01	2017	10.5935/1806-0013.20170023	2023-03-29	1806-0013	2	2017	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Functionality, psychosocial factors and quality of life in women with predominance
            of central sensitization	journal-article	http://dx.doi.org/10.5935/1806-0013.20170023	18	NA	NA	en	NA	NA	NA	NA	Elen Soares Marques, Ney Armando Meziat Filho, Marcia Elena Rabelo Gouvea, Paula dos Santos Ferreira, Leandro Alberto Calazans Nogueira	2017	2	TRUE	NA	NA	A3	NA
Kinesiology	2018-05-04	2018-05-04	2017	10.26582/k.49.2.5	2023-06-21	1848-638X,1331-1441	2	2017	11118	208-216	10.26582	Faculty of Kinesiology, University of Zagreb	1	Crossref	0	0	13	Physical Therapy, Sports Therapy and Rehabilitation	Hand grip strength in healthy young and older Brazilian adults:	journal-article	http://dx.doi.org/10.26582/k.49.2.5	49	Kinesiology (Zagreb, Online)	2017	NA	NA	development of a linear prediction model using simple anthropometric variables	NA	NA	Rafael Santos Neves, Agnaldo José Lopes	2017	13	TRUE	2.0	NA	A4	NA
Research, Society and Development	2021-10-24	2021-10-24	NA	10.33448/rsd-v10i13.21374	2022-04-05	2525-3409	13	2021-10-20	19099	e501101321374	10.33448	Research, Society and Development	1	Crossref	0	0	0	Management Science and Operations Research,Mechanical Engineering,Energy Engineering and Power Technology	Heart failure compromises muscle power of lower limbs of sedentary elderly people	journal-article	http://dx.doi.org/10.33448/rsd-v10i13.21374	10	RSD	2021-10-20	NA	NA	NA	NA	NA	Roberto Cascon, Amanda Brown, Diogo Cardozo, Marcelo Corso, Leandro de Oliveira Sant'Ana, Mauro Augusto dos Santos, Indrid Dias, Alex Souto Maior, Verônica Salermo, Jeffrey M. Willardson, Roberto Simão	2021	0	TRUE	NA	NA	C	NA
The Journal of Sports Medicine and Physical Fitness	2021-07-02	2021-07-02	2018-07	10.23736/s0022-4707.17.07539-9	2022-04-05	0022-4707,1827-1928	9	2018-07	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Heart rate response and recovery in wheelchair tetraplegic rugby athletes: a pilot study	journal-article	http://dx.doi.org/10.23736/s0022-4707.17.07539-9	58	J Sports Med Phys Fitness	NA	NA	NA	NA	NA	NA	Michelle C. Coutinho, Patrícia S. Vigário, Agnaldo J. Lopes, Fernando S. Guimarães	2018	0	FALSE	3.3	0.496	A4	NA
Archives of Endocrinology and Metabolism	2019-01-07	2020-11-21	NA	10.20945/2359-3997000000083	2022-05-31	2359-3997,2359-4292	6	2018	8510	591-596	10.20945	Archives of Endocrinology and Metabolism	1	Crossref	39	39	2	Endocrinology, Diabetes and Metabolism	Heart rate response to graded exercise test of elderly subjects in different ranges of TSH levels	journal-article	http://dx.doi.org/10.20945/2359-3997000000083	62	NA	2018	en	NA	NA	NA	NA	Rafael Cavalcante Carvalho, Patrícia dos Santos Vigário, Dhiãnah Santini de Oliveira Chachamovitz, Diego Henrique da Silva Silvestre, Pablo Rodrigo de Oliveira Silva, Mario Vaisman, Patrícia de Fátima dos Santos Teixeira	2018	2	TRUE	3.1	0.429	B2	NA
Asian Journal of Sports Medicine	2021-08-18	2023-01-15	NA	10.5812/asjsm.108537	2023-01-16	2008-000X,2008-7209	3	2021-08-18	3819	NA	10.5812	Briefland	1	Crossref	38	38	0	Orthopedics and Sports Medicine	Heart Rate Variability in Adults with Sickle Cell Anemia During a Multitasking Field Test	journal-article	http://dx.doi.org/10.5812/asjsm.108537	12	Asian J Sports Med	2021-08-18	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	Rafael Alexandre de Oliveira Deucher, Arthur de Sá Ferreira, Leila Paula Alves da Silva Nascimento, Mariana Soares da Cal, Jannis Vasileios Papathanasiou, Agnaldo José Lopes	2021	0	TRUE	1.0	0.183	B1	NA
Clinical Medicine &amp; Research	2015-05-04	2021-04-01	2015-03-01	10.3121/cmr.2014.1236	2023-05-02	1539-4182,1554-6179	1	2014-11-07	1659	12-19	10.3121	Marshfield Clinic Research Institute	1	Crossref	0	0	15	Community and Home Care,General Medicine	Impact of Different Etiologies of Bronchiectasis on the Pulmonary Function Tests	journal-article	http://dx.doi.org/10.3121/cmr.2014.1236	13	Clinical Medicine &amp; Research	2014-11-07	en	NA	NA	NA	NA	A. J. Lopes, G. B. Camilo, S. L. S. de Menezes, F. S. Guimaraes	2014	15	TRUE	1.5	0.257	A1	NA
Breast Cancer Research and Treatment	2011-10-10	2021-12-09	2012-02	10.1007/s10549-011-1805-7	2023-05-23	0167-6806,1573-7217	3	2011-10-11	297	987-992	10.1007	Springer Science and Business Media LLC	1	Crossref	18	18	51	Cancer Research,Oncology	Incidence and risk factors for axillary web syndrome after breast cancer surgery	journal-article	http://dx.doi.org/10.1007/s10549-011-1805-7	131	Breast Cancer Res Treat	2011-10-11	en	NA	NA	NA	NA	Anke Bergmann, Valéria Vasconcellos Mendes, Ricardo de Almeida Dias, Blenda do Amaral e Silva, Maria Giseli da Costa Leite Ferreira, Erica Alves Nogueira Fabro	2011	51	FALSE	7.5	1.442	A2	NA
Revista Brasileira de Ciência e Movimento	2023-03-24	2023-03-24	NA	10.31501/rbcm.v30i2.12782	2023-03-25	0103-1716	2	2023-03-11	16587	NA	10.31501	Universidade Catolica de Brasilia	1	Crossref	0	0	0	Media Technology	INCIDÊNCIA DE LESÕES E/OU DORES MUSCULOESQUELÉTICAS E FATORES ASSOCIADOS EM EQUIPES DE FUTEBOL PROFISSIONAL DO ESTADO DO RIO DE JANEIRO DURANTE O CAMPEONATO BRASILEIRO SÉRIE A DE 2018.	journal-article	http://dx.doi.org/10.31501/rbcm.v30i2.12782	30	R. Bras. Ci. e Mov.	2023-03-11	NA	NA	NA	NA	NA	Alex Souto Maior, Ney Meziat-Filho, Ailton Teixeira Osório	2023	0	TRUE	NA	NA	B2	NA
Brazilian Journal Of Pain	2021-10-15	2021-10-15	2021	10.5935/2595-0118.20210055	2022-03-29	2595-0118	4	2021	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Influence of the type of locus of health control on the levels of disability and kinesiophobia in chronic low back pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20210055	4	NA	NA	en	NA	NA	NA	NA	Luciana Crepaldi Lunkes, Flavio Henrique Furtado Vieira, Carlos Eduardo Viana Santos, Ângela Sousa Garcia, Renato Carvalho Vilella	2021	0	FALSE	NA	NA	B1	NA
Revista Neurociências	2014-05-06	2020-02-28	NA	10.4181/rnc.2014.22.896.7p	2022-04-06	0104-3579,1984-4905	01	2014-05-06	19929	95-101	10.34024	Universidade Federal de Sao Paulo	1	Crossref	0	0	2	Neurology (clinical),Neurology	Informações Somatossensoriais nos Processos da Prática Mental na Fisioterapia Neurofuncional: Estudo de Revisão	journal-article	http://dx.doi.org/10.4181/rnc.2014.22.896.7p	22	RNC	2014-05-06	NA	NA	NA	NA	NA	Lucélia Sant’Anna, Sergio Guida, Julio Silva	2014	2	TRUE	NA	NA	B2	NA
Journal of Bone and Mineral Metabolism	2017-08-01	2018-06-29	2018-07	10.1007/s00774-017-0854-3	2023-06-14	0914-8779,1435-5604	4	2017-08-01	297	454-461	10.1007	Springer Science and Business Media LLC	1	Crossref	36	36	14	Endocrinology,Orthopedics and Sports Medicine,General Medicine,Endocrinology, Diabetes and Metabolism	Inhaled glucocorticoids are associated with vertebral fractures in COPD patients	journal-article	http://dx.doi.org/10.1007/s00774-017-0854-3	36	J Bone Miner Metab	2017-08-01	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Pedro Assed Gonçalves, Rafael dos Santos Neves, Leonardo Vieira Neto, Miguel Madeira, Fernando Silva Guimarães, Laura Maria Carvalho Mendonça, Agnaldo Jose Lopes, Maria Lucia Fleiuss Farias	2017	14	FALSE	5.7	0.748	A4	NA
Brazilian Journal Of Pain	2020-07-30	2020-07-30	2020	10.5935/2595-0118.20200177	2022-04-07	2595-0118	3	2020	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Intensity of pain, disability and psychosocial factors in women with chronic pelvic pain: crosssectional study	journal-article	http://dx.doi.org/10.5935/2595-0118.20200177	3	NA	NA	en	NA	NA	NA	NA	Jennifer Nogueira Rocha, Luiz Eduardo de Castro, Virgínia Martello Riccobene, Michele Souza Menezes Autran, Leandro Alberto Calazans Nogueira, Felipe José Jandre dos Reis	2020	0	FALSE	NA	NA	B1	NA
Cadernos de Saúde Pública	2013-03-06	2022-02-10	2013-06	10.1590/s0102-311x2013000600005	2022-03-29	0102-311X	6	2013-06	530	1083-1093	10.1590	FapUNIFESP (SciELO)	1	Crossref	43	43	3	Public Health, Environmental and Occupational Health	International Classification of Functioning, Disability, and Health in women with breast cancer: a proposal for measurement instruments	journal-article	http://dx.doi.org/10.1590/s0102-311x2013000600005	29	Cad. Saúde Pública	NA	NA	NA	NA	NA	NA	Flávia Nascimento de Carvalho, Rosalina Jorge Koifman, Anke Bergmann	2013	3	TRUE	4.2	0.767	A1	NA
Journal of Exercise Rehabilitation	2017-08-30	2019-07-26	NA	10.12965/jer.1734990.495	2022-11-24	2288-176X,2288-1778	4	2017-08-29	5137	418-424	10.12965	Korean Society of Exercise Rehabilitation	1	Crossref	44	44	2	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Investigation of alpha band of the electroencephalogram before and after a task of proprioceptive neuromuscular facilitation	journal-article	http://dx.doi.org/10.12965/jer.1734990.495	13	J Exerc Rehabil	2017-08-29	en	http://dx.doi.org/10.12965/crossmark_policy	NA	NA	NA	Luan Correia Costa, Alzira Andrade, Lysnara Lial, Rayele Moreira, Ane Caroline Lima, Astrogildo Magvinier, Ricardo Lira, Anderson Aragão, Pedro Henrique Ulisses, Eric Crespo, Marco Orsini, Silmar Teixeira, Victor Hugo Bastos	2017	2	TRUE	3.5	0.423	B1	NA
Journal of Physical Medicine and Rehabilitation	2022-09-12	2022-09-12	NA	10.33696/rehabilitation.4.025	2022-09-12	NA	1	2022-09-12	18993	NA	10.33696	Scientific Archives LLC	1	Crossref	0	0	0	Health, Toxicology and Mutagenesis,Toxicology,Orthopedics and Sports Medicine,Emergency Medicine,General Medicine,General Medicine,Public Health, Environmental and Occupational Health,Aquatic Science,Ecology, Evolution, Behavior and Systematics,Water Science and Technology,Aquatic Science,Immunology,Infectious Diseases,Cell Biology,Molecular Biology,Immunology,Microbiology,Arts and Humanities (miscellaneous),Anthropology,Development,Geography, Planning and Development	Ischemic Preconditioning Contribute to Improving the Static and Dynamic Stability of Male Trained	journal-article	http://dx.doi.org/10.33696/rehabilitation.4.025	4	J Phys Med Rehabil	2022-09-12	NA	NA	NA	NA	NA	 	2022	0	TRUE	NA	NA	NA	NA
Neuroscience	2010-05-11	2023-02-10	2010-08	10.1016/j.neuroscience.2010.04.081	2023-02-10	0306-4522	2	2010-08	78	743-750	10.1016	Elsevier BV	1	Crossref	65	65	27	General Neuroscience	Kinesthetic motor imagery modulates body sway	journal-article	http://dx.doi.org/10.1016/j.neuroscience.2010.04.081	169	Neuroscience	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	E.C. Rodrigues, T. Lemos, B. Gouvea, E. Volchan, L.A. Imbiriba, C.D. Vargas	2010	27	FALSE	6.8	1.006	A3	NA
Journal of Evidence-Based Healthcare	2019-11-21	2021-08-20	NA	10.17267/2675-021xevidence.v1i1.1983	2022-04-07	2675-021X	1	2019-04-17	7058	15-24	10.17267	Escola Bahiana de Medicina e Saude Publica	1	Crossref	0	0	0	NA	Knowledge and attitudes of entry-level and final-level physical therapy students about evidence-based practice - A cross-sectional study	journal-article	http://dx.doi.org/10.17267/2675-021xevidence.v1i1.1983	1	Evidence	2019-04-17	NA	NA	NA	NA	NA	Felipe Reis, Julia Rodrigues Siqueira, Gabriela Andrade De Araújo, Leandro Calazans Nogueira, Ney Meziat Filho, Luis Correia	2019	0	TRUE	NA	NA	C	NA
Sleep and Breathing	2018-10-06	2019-10-05	2019-06	10.1007/s11325-018-1729-0	2023-06-08	1520-9512,1522-1709	2	2018-10-06	297	543-550	10.1007	Springer Science and Business Media LLC	1	Crossref	34	34	13	Neurology (clinical),Otorhinolaryngology	Laryngopharyngeal motor dysfunction and obstructive sleep apnea in Parkinson’s disease	journal-article	http://dx.doi.org/10.1007/s11325-018-1729-0	23	Sleep Breath	2018-10-06	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Christianne Martins Corrêa Silva Bahia, João Santos Pereira, Agnaldo José Lopes	2018	13	FALSE	4.9	0.685	A4	NA
Fisioterapia e Pesquisa	2017-02-05	2022-07-23	2011-03	10.1590/s1809-29502011000100007	2022-07-23	1809-2950	1	2011-03	530	37-42	10.1590	FapUNIFESP (SciELO)	1	Crossref	39	39	6	General Medicine	Laserterapia de baixa intensidade na expressão de colágeno após lesão muscular cirúrgica	journal-article	http://dx.doi.org/10.1590/s1809-29502011000100007	18	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	Flávia Fonseca Moreira, Eustáquio Luiz Paiva de Oliveira, Fabiano Sousa Barbosa, Julio Guilherme Silva	2011	6	TRUE	NA	NA	B1	NA
Revista Brasileira de Medicina do Esporte	2015-09-30	2017-05-23	2014-08	10.1590/1517-86922014200402063	2022-03-31	1517-8692	4	2014-08	530	304-308	10.1590	FapUNIFESP (SciELO)	1	Crossref	22	22	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Lesões em tenistas amadores no Rio de Janeiro	journal-article	http://dx.doi.org/10.1590/1517-86922014200402063	20	Rev Bras Med Esporte	NA	NA	NA	NA	NA	NA	Nelcimar Souza Queiroz, Patrícia dos Santos Vigário, Lilian Ramiro Felicio, Míriam Raquel Meira Mainenti	2014	0	TRUE	0.8	0.177	B1	NA
International Journal of Sports Medicine	2017-05-31	2017-12-19	2017-07	10.1055/s-0043-101913	2022-03-30	0172-4622,1439-3964	07	2017-05-31	194	515-520	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	0	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Locomotion Mode Affects the Physiological Strain during Exercise at Walk-Run Transition Speed inElderly Men	journal-article	http://dx.doi.org/10.1055/s-0043-101913	38	Int J Sports Med	2017-05-31	en	NA	NA	NA	NA	Raul Freire, Paulo Farinatti, Felipe Cunha, Brenno Silva, Walace Monteiro	2017	0	FALSE	5.4	0.965	A2	NA
Journal of Geriatric Psychiatry and Neurology	2017-10-03	2017-12-12	2017-11	10.1177/0891988717731826	2022-11-28	0891-9887,1552-5708	6	2017-10-02	179	311-315	10.1177	SAGE Publications	1	Crossref	16	16	4	Psychiatry and Mental health,Geriatrics and Gerontology,Neurology (clinical)	Low Sensitivity of the Mini-Mental State Examination for Cognitive Assessment of Brazilian Patients With Parkinson Disease	journal-article	http://dx.doi.org/10.1177/0891988717731826	30	J Geriatr Psychiatry Neurol	2017-10-02	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	Raphael Breder, Marco Antonio Araujo Leite, Jony Arrais Pinto, Igor Pinto Cavalcante, Bruno Lima Pessoa, Marco Antônio Orsini Neves	2017	4	FALSE	4.9	0.808	A4	NA
European Journal of Physiotherapy	2019-06-25	2021-05-08	2021-01-02	10.1080/21679169.2019.1628299	2022-04-05	2167-9169,2167-9177	1	2019-06-24	301	19-26	10.1080	Informa UK Limited	1	Crossref	35	35	1	Physical Therapy, Sports Therapy and Rehabilitation	Measurement of patient satisfaction with physical therapy care: revisiting the semantic and dimensional structure equivalence of MedRisk instrument in the Brazilian context	journal-article	http://dx.doi.org/10.1080/21679169.2019.1628299	23	European Journal of Physiotherapy	2019-06-24	en	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	Renato Santos de Almeida, Michael Eduardo Reichenheim, Christopher Peterson, Mônica Martins	2019	1	FALSE	2.0	0.349	B1	NA
Jornal Brasileiro de Pneumologia	2019-10-17	2020-02-11	NA	10.1590/1806-3713/e20180311	2023-05-10	1806-3756,1806-3713	5	2019	530	NA	10.1590	FapUNIFESP (SciELO)	1	Crossref	29	29	6	Pulmonary and Respiratory Medicine	Mecânica respiratória de pacientes com obesidade mórbida	journal-article	http://dx.doi.org/10.1590/1806-3713/e20180311	45	J. bras. pneumol.	2019	NA	NA	NA	NA	NA	Mauricio de Sant’Anna Jr, Renata Ferreira Carvalhal, Fernando da Franca Bastos de Oliveira, Walter Araújo Zin, Agnaldo José Lopes, Jocemir Ronaldo Lugon, Fernando Silva Guimarães	2019	6	TRUE	3.0	0.409	B1	NA
