journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	abstract	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	archive	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Muscle Ligaments and Tendons Journal	2021-12-02	2021-12-02	NA	10.32098/mltj.04.2021.13	2022-03-30	2240-4554	04	2021-11	9508	704	10.32098	Edra SpA	1	Crossref	0	0	0	Orthopedics and Sports Medicine	Functional Performance of Ankles Between Male and Female Practitioners of Resistance Exercise	journal-article	http://dx.doi.org/10.32098/mltj.04.2021.13	11	NA	Muscle Ligaments and Tendons J	2021-11	NA	NA	NA	NA	NA	NA	M. Braz, A. Souto Maior	2021	0	TRUE	1.4	0,263	A3
Journal of Physical Therapy Science	2014-05-28	2022-04-05	2014	10.1589/jpts.26.721	2023-05-23	0915-5287,2187-5626	5	2014	533	721-730	10.1589	Society of Physical Therapy Science	1	Crossref	49	49	13	Physical Therapy, Sports Therapy and Rehabilitation	Functionality in Women with Breast Cancer: The Use of International Classification of Functioning, Disability and Health (ICF) in Clinical Practice	journal-article	http://dx.doi.org/10.1589/jpts.26.721	26	NA	J Phys Ther Sci	NA	en	NA	NA	NA	NA	NA	Flávia Nascimento de Carvalho, Anke Bergmann, Rosalina Jorge Koifman	2014	13	TRUE	NA	NA	C
Revista Dor	2017-06-01	2017-06-01	2017	10.5935/1806-0013.20170023	2023-03-29	1806-0013	2	2017	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	2	Insect Science,Ecology,Ecology, Evolution, Behavior and Systematics	Functionality, psychosocial factors and quality of life in women with predominance
            of central sensitization	journal-article	http://dx.doi.org/10.5935/1806-0013.20170023	18	NA	NA	NA	en	NA	NA	NA	NA	NA	Elen Soares Marques, Ney Armando Meziat Filho, Marcia Elena Rabelo Gouvea, Paula dos Santos Ferreira, Leandro Alberto Calazans Nogueira	2017	2	TRUE	NA	NA	A3
Kinesiology	2018-05-04	2018-05-04	2017	10.26582/k.49.2.5	2023-05-12	1848-638X,1331-1441	2	2017	11118	208-216	10.26582	Faculty of Kinesiology, University of Zagreb	1	Crossref	0	0	12	Physical Therapy, Sports Therapy and Rehabilitation	Hand grip strength in healthy young and older Brazilian adults:	journal-article	http://dx.doi.org/10.26582/k.49.2.5	49	<jats:p>Hand grip strength (HGS) is important not only in its own right, but as an indicator of overall body strength and future outcomes as well. As we have found no studies on the HGS predictive models including Brazilian adults younger than 50 years of age, we aimed to develop a novel predictive equation using demographic and anthropometric attributes for subjects aged between 18 and 71 years. This is a cross-sectional study in which 203 (105 women) apparently healthy young and older adults were evaluated. A hydraulic dynamometer was&amp;nbsp;used to measure HGS, according to the American Society of Hand Therapists recommendations. Several models were tested using age, body mass (W), body height (H), body mass index (BMI), level of physical activity (IPAQ) and gender as explanatory variables. Automated variable selection using the forward stepwise method was applied. The overall performance measures of the regression consisted of the R2 value adjusted for the number of variables retained in the proposed model, as well as of the standard error of the difference. Regression’s diagnosis using Pearson’s correlation coefficient, multicollinearity assessment and analysis of residuals were also performed to verify specific performance of the model. Statistical significance was considered at p&amp;lt;.05 for all analyses. Regarding the dominant (D) body side, the adjusted R2 value obtained by the stepwise method was .683. The variables age and IPAQ classification did not significantly increase the adjusted R2 value and therefore were excluded from the model (p&amp;gt;.100). For the non-dominant body side (ND), the adjusted R2 was .640. The final prediction models for the dominant body side was HGSPD=20.108×H+0.083×W+13.265×sexmale=1−8.737, whereas for the non-dominant body side it was HGSPND= 9.23×H+0.086×W+14.671×sexmale=1+5.904. Simple personal attributes, such as gender, body height and body mass can predict the expected values of HGS of the dominant and non-dominant upper limbs for Brazilian adults between 18 and 71 years.</jats:p>	Kinesiology (Zagreb, Online)	2017	NA	NA	development of a linear prediction model using simple anthropometric variables	NA	NA	NA	Rafael Santos Neves, Agnaldo José Lopes	2017	12	TRUE	2.0	NA	A4
Research, Society and Development	2021-10-24	2021-10-24	NA	10.33448/rsd-v10i13.21374	2022-04-05	2525-3409	13	2021-10-20	19099	e501101321374	10.33448	Research, Society and Development	1	Crossref	0	0	0	Management Science and Operations Research,Mechanical Engineering,Energy Engineering and Power Technology	Heart failure compromises muscle power of lower limbs of sedentary elderly people	journal-article	http://dx.doi.org/10.33448/rsd-v10i13.21374	10	<jats:p>Purpose. To analyze and to compare the absolute and relative muscle power of the lower limbs in sedentary elderly subjects with and without heart failure. Methods. The study included 36 elderly subjects (72 ± 6.5 years, 76.8 ± 4.8 kg, 171 ± 9.4 cm) divided into two groups: sixteen patients with heart failure versus twenty patients with coronary artery disease, but without heart failure. The muscle power of the lower limbs was assessed with a half-squat exercise; three repetitions were performed with three seconds of the interval between repetitions as fast as possible in the concentric phase. For the statistical analysis, unpaired Student's t-tests were used to compare the absolute and relative muscular power between groups. Results. Subjects without heart failure had significantly greater absolute (362 ± 18.5 W vs. 438 ± 22.3 W, p = 0.015) and relative (4.6 ± 0.2 W / kg vs. 5.9 ± 0.2 W / Kg, p = 0.001) muscle power versus subjects with heart failure. Conclusion. Heart failure harms the muscular power of the lower limbs in the elderly, which may influence the prognosis and evolution of the disease and capacity functional.</jats:p>	RSD	2021-10-20	NA	NA	NA	NA	NA	NA	Roberto Cascon, Amanda Brown, Diogo Cardozo, Marcelo Corso, Leandro de Oliveira Sant'Ana, Mauro Augusto dos Santos, Indrid Dias, Alex Souto Maior, Verônica Salermo, Jeffrey M. Willardson, Roberto Simão	2021	0	TRUE	NA	NA	C
The Journal of Sports Medicine and Physical Fitness	2021-07-02	2021-07-02	2018-07	10.23736/s0022-4707.17.07539-9	2022-04-05	0022-4707,1827-1928	9	2018-07	17149	NA	10.23736	Edizioni Minerva Medica	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Heart rate response and recovery in wheelchair tetraplegic rugby athletes: a pilot study	journal-article	http://dx.doi.org/10.23736/s0022-4707.17.07539-9	58	NA	J Sports Med Phys Fitness	NA	NA	NA	NA	NA	NA	NA	Michelle C. Coutinho, Patrícia S. Vigário, Agnaldo J. Lopes, Fernando S. Guimarães	2018	0	FALSE	3.3	0,496	A4
Archives of Endocrinology and Metabolism	2019-01-07	2020-11-21	NA	10.20945/2359-3997000000083	2022-05-31	2359-3997,2359-4292	6	2018	8510	591-596	10.20945	Archives of Endocrinology and Metabolism	1	Crossref	39	39	2	Endocrinology, Diabetes and Metabolism	Heart rate response to graded exercise test of elderly subjects in different ranges of TSH levels	journal-article	http://dx.doi.org/10.20945/2359-3997000000083	62	NA	NA	2018	en	NA	NA	NA	NA	NA	Rafael Cavalcante Carvalho, Patrícia dos Santos Vigário, Dhiãnah Santini de Oliveira Chachamovitz, Diego Henrique da Silva Silvestre, Pablo Rodrigo de Oliveira Silva, Mario Vaisman, Patrícia de Fátima dos Santos Teixeira	2018	2	TRUE	3.1	0,429	B2
Asian Journal of Sports Medicine	2021-08-18	2023-01-15	NA	10.5812/asjsm.108537	2023-01-16	2008-000X,2008-7209	3	2021-08-18	3819	NA	10.5812	Briefland	1	Crossref	38	38	0	Orthopedics and Sports Medicine	Heart Rate Variability in Adults with Sickle Cell Anemia During a Multitasking Field Test	journal-article	http://dx.doi.org/10.5812/asjsm.108537	12	<jats:p>Background: The integrity of the autonomic nervous system (ANS) is essential for keeping physiological processes stable, even under stress. Since there is growing interest in heart rate variability (HRV) analysis for the noninvasive assessment of the ANS in sickle cell anemia (SCA) patients, we studied the behavior of the ANS in the presence of a stressor that simulates daily-life multitasking, the Glittre ADL test (GA-T). Objectives: To evaluate the involvement of the ANS using HRV in adults with SCA during the GA-T and to quantify the strength of the correlation of HRV with lung and muscle functions. Methods: In this cross-sectional study, 16 adults with SCA and 12 healthy controls without sickle cell disease underwent HRV assessment during the GA-T, pulmonary function tests (spirometry, diffusing capacity for carbon monoxide (DLCO), and respiratory muscle testing). Peripheral muscle function [handgrip strength (HGS) and quadriceps strength (QS)] were also measured. Results: Compared to the healthy controls, adults with SCA showed lower HRV, with worse parasympathetic modulation due to reductions in the following indices: the root-mean-square difference of successive normal iRRs (iRR) (RMSSD); the percentage of pairs of consecutive iRRs whose difference is &gt; 50 m (pNN50); the high-frequency component of heart rate variability (HF); and the standard deviation of instantaneous beat-to-beat variability (SD1) (P &lt; 0.001 for all). Compared to healthy controls, individuals with SCA showed greater sympathovagal imbalance (higher ratio between low-frequency and HF components) and lower complexity of the ANS (lower approximate entropy). The GA-T time was correlated with parasympathetic activity indices: RMSSD (rs = -0.650, P &lt; 0.01); pNN50 (rs = -0.932, P &lt; 0.0001), HF (rs = -0.579, P &lt; 0.01), and SD1 (rs = -0.814, P &lt; 0.0001). Correlations between parasympathetic activity indices and DLCO, HGS, and QS measures were also significant. Conclusions: Adults with SCA have low HRV, with low parasympathetic activity, sympathovagal imbalance, and abnormal ANS complexity. In addition, lower HRV is associated with longer GA-T time, greater impairment of pulmonary diffusion, and greater muscle strength dysfunction.</jats:p>	Asian J Sports Med	2021-08-18	NA	http://dx.doi.org/10.5812/crossmark_update_policy	NA	NA	NA	NA	Rafael Alexandre de Oliveira Deucher, Arthur de Sá Ferreira, Leila Paula Alves da Silva Nascimento, Mariana Soares da Cal, Jannis Vasileios Papathanasiou, Agnaldo José Lopes	2021	0	TRUE	1.0	0,183	B1
Clinical Medicine &amp; Research	2015-05-04	2021-04-01	2015-03-01	10.3121/cmr.2014.1236	2023-05-02	1539-4182,1554-6179	1	2014-11-07	1659	12-19	10.3121	Marshfield Clinic Research Institute	1	Crossref	0	0	15	Community and Home Care,General Medicine	Impact of Different Etiologies of Bronchiectasis on the Pulmonary Function Tests	journal-article	http://dx.doi.org/10.3121/cmr.2014.1236	13	NA	Clinical Medicine &amp; Research	2014-11-07	en	NA	NA	NA	NA	NA	A. J. Lopes, G. B. Camilo, S. L. S. de Menezes, F. S. Guimaraes	2014	15	TRUE	1.5	0,257	A1
Breast Cancer Research and Treatment	2011-10-10	2021-12-09	2012-02	10.1007/s10549-011-1805-7	2023-05-23	0167-6806,1573-7217	3	2011-10-11	297	987-992	10.1007	Springer Science and Business Media LLC	1	Crossref	18	18	51	Cancer Research,Oncology	Incidence and risk factors for axillary web syndrome after breast cancer surgery	journal-article	http://dx.doi.org/10.1007/s10549-011-1805-7	131	NA	Breast Cancer Res Treat	2011-10-11	en	NA	NA	NA	NA	NA	Anke Bergmann, Valéria Vasconcellos Mendes, Ricardo de Almeida Dias, Blenda do Amaral e Silva, Maria Giseli da Costa Leite Ferreira, Erica Alves Nogueira Fabro	2011	51	FALSE	7.5	1,442	A2
Revista Brasileira de Ciência e Movimento	2023-03-24	2023-03-24	NA	10.31501/rbcm.v30i2.12782	2023-03-25	0103-1716	2	2023-03-11	16587	NA	10.31501	Universidade Catolica de Brasilia	1	Crossref	0	0	0	Media Technology	INCIDÊNCIA DE LESÕES E/OU DORES MUSCULOESQUELÉTICAS E FATORES ASSOCIADOS EM EQUIPES DE FUTEBOL PROFISSIONAL DO ESTADO DO RIO DE JANEIRO DURANTE O CAMPEONATO BRASILEIRO SÉRIE A DE 2018.	journal-article	http://dx.doi.org/10.31501/rbcm.v30i2.12782	30	<jats:p>Investigar a incidência de lesões e/ou dores musculoesqueléticas (LDM) relacionados às equipes de futebol profissional do estado do Rio de Janeiro participantes do campeonato brasileiro de 2018. A amostra foi composta por 148 atletas profissionais dos clubes de futebol do Rio de Janeiro que participaram de 1 ou mais jogos do Campeonato Brasileiro série A de 2018. Para a coleta de dados foi utilizada um questionário epidemiológico que investigava as seguintes variáveis: tempo de exposição; diagnóstico; tipo de LDM; local da LDM; gravidade da LDM; tempo de inatividade; posição tática do atleta caracterizado com LDM; idade. Foram identificadas 591LDM com incidência de 58,9 LDM/1000h de exposição. A idade (27,05 ± 5,91 anos) foi um determinante para afastamento dos treinos e competições (OR= 1,13; IC95% = 1,02 a 1,25, p&lt; 0,02). O tempo de exposição mostrou associação com o número de LDM (coeficiente beta= 3,31; IC 95% = 2,59 até 4,02; p</jats:p>	R. Bras. Ci. e Mov.	2023-03-11	NA	NA	NA	NA	NA	NA	Alex Souto Maior, Ney Meziat-Filho, Ailton Teixeira Osório	2023	0	TRUE	NA	NA	B2
Brazilian Journal Of Pain	2021-10-15	2021-10-15	2021	10.5935/2595-0118.20210055	2022-03-29	2595-0118	4	2021	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Influence of the type of locus of health control on the levels of disability and kinesiophobia in chronic low back pain	journal-article	http://dx.doi.org/10.5935/2595-0118.20210055	4	NA	NA	NA	en	NA	NA	NA	NA	NA	Luciana Crepaldi Lunkes, Flavio Henrique Furtado Vieira, Carlos Eduardo Viana Santos, Ângela Sousa Garcia, Renato Carvalho Vilella	2021	0	FALSE	NA	NA	B1
Revista Neurociências	2014-05-06	2020-02-28	NA	10.4181/rnc.2014.22.896.7p	2022-04-06	0104-3579,1984-4905	01	2014-05-06	19929	95-101	10.34024	Universidade Federal de Sao Paulo	1	Crossref	0	0	2	Neurology (clinical),Neurology	Informações Somatossensoriais nos Processos da Prática Mental na Fisioterapia Neurofuncional: Estudo de Revisão	journal-article	http://dx.doi.org/10.4181/rnc.2014.22.896.7p	22	NA	RNC	2014-05-06	NA	NA	NA	NA	NA	NA	Lucélia Sant’Anna, Sergio Guida, Julio Silva	2014	2	TRUE	NA	NA	B2
Journal of Bone and Mineral Metabolism	2017-08-01	2018-06-29	2018-07	10.1007/s00774-017-0854-3	2023-04-05	0914-8779,1435-5604	4	2017-08-01	297	454-461	10.1007	Springer Science and Business Media LLC	1	Crossref	36	36	13	Endocrinology,Orthopedics and Sports Medicine,General Medicine,Endocrinology, Diabetes and Metabolism	Inhaled glucocorticoids are associated with vertebral fractures in COPD patients	journal-article	http://dx.doi.org/10.1007/s00774-017-0854-3	36	NA	J Bone Miner Metab	2017-08-01	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Pedro Assed Gonçalves, Rafael dos Santos Neves, Leonardo Vieira Neto, Miguel Madeira, Fernando Silva Guimarães, Laura Maria Carvalho Mendonça, Agnaldo Jose Lopes, Maria Lucia Fleiuss Farias	2017	13	FALSE	5.7	0,748	A4
Brazilian Journal Of Pain	2020-07-30	2020-07-30	2020	10.5935/2595-0118.20200177	2022-04-07	2595-0118	3	2020	3948	NA	10.5935	GN1 Genesis Network	1	Crossref	0	0	0	Applied Mathematics	Intensity of pain, disability and psychosocial factors in women with chronic pelvic pain: crosssectional study	journal-article	http://dx.doi.org/10.5935/2595-0118.20200177	3	NA	NA	NA	en	NA	NA	NA	NA	NA	Jennifer Nogueira Rocha, Luiz Eduardo de Castro, Virgínia Martello Riccobene, Michele Souza Menezes Autran, Leandro Alberto Calazans Nogueira, Felipe José Jandre dos Reis	2020	0	FALSE	NA	NA	B1
Cadernos de Saúde Pública	2013-03-06	2022-02-10	2013-06	10.1590/s0102-311x2013000600005	2022-03-29	0102-311X	6	2013-06	530	1083-1093	10.1590	FapUNIFESP (SciELO)	1	Crossref	43	43	3	Public Health, Environmental and Occupational Health	International Classification of Functioning, Disability, and Health in women with breast cancer: a proposal for measurement instruments	journal-article	http://dx.doi.org/10.1590/s0102-311x2013000600005	29	<jats:p>The International Classification of Functioning, Disability, and Health (ICF) aims at standardization, but its applicability requires consistent instruments. In Brazil, invasive therapeutic approaches are frequent, leading to functional alterations. The current study thus aimed to identify and discuss instruments capable of measuring ICF core set codes for breast cancer. The review included ICF studies in women with breast cancer diagnosis and studies with the objective of translating and validating instruments for the Brazilian population, and consistent with the codes. Review studies, systematic or not, were excluded. Eight instruments were selected, and the WHOQOL-Bref was the most comprehensive. The use of various instruments showed 19 coinciding codes, and the instruments as a whole covered 58 of the total of 81 codes. The use of multiple instruments is time-consuming, so new studies are needed to propose parsimonious tools capable of measuring functioning in women treated for breast cancer.</jats:p>	Cad. Saúde Pública	NA	NA	NA	NA	NA	NA	NA	Flávia Nascimento de Carvalho, Rosalina Jorge Koifman, Anke Bergmann	2013	3	TRUE	4.2	0,767	A1
Journal of Exercise Rehabilitation	2017-08-30	2019-07-26	NA	10.12965/jer.1734990.495	2022-11-24	2288-176X,2288-1778	4	2017-08-29	5137	418-424	10.12965	Korean Society of Exercise Rehabilitation	1	Crossref	44	44	2	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Investigation of alpha band of the electroencephalogram before and after a task of proprioceptive neuromuscular facilitation	journal-article	http://dx.doi.org/10.12965/jer.1734990.495	13	NA	J Exerc Rehabil	2017-08-29	en	http://dx.doi.org/10.12965/crossmark_policy	NA	NA	NA	NA	Luan Correia Costa, Alzira Andrade, Lysnara Lial, Rayele Moreira, Ane Caroline Lima, Astrogildo Magvinier, Ricardo Lira, Anderson Aragão, Pedro Henrique Ulisses, Eric Crespo, Marco Orsini, Silmar Teixeira, Victor Hugo Bastos	2017	2	TRUE	3.5	0,423	B1
Journal of Physical Medicine and Rehabilitation	2022-09-12	2022-09-12	NA	10.33696/rehabilitation.4.025	2022-09-12	NA	1	2022-09-12	18993	NA	10.33696	Scientific Archives LLC	1	Crossref	0	0	0	Health, Toxicology and Mutagenesis,Toxicology,Orthopedics and Sports Medicine,Emergency Medicine,General Medicine,General Medicine,Public Health, Environmental and Occupational Health,Aquatic Science,Ecology, Evolution, Behavior and Systematics,Water Science and Technology,Aquatic Science,Immunology,Infectious Diseases,Cell Biology,Molecular Biology,Immunology,Microbiology,Arts and Humanities (miscellaneous),Anthropology,Development,Geography, Planning and Development	Ischemic Preconditioning Contribute to Improving the Static and Dynamic Stability of Male Trained	journal-article	http://dx.doi.org/10.33696/rehabilitation.4.025	4	NA	J Phys Med Rehabil	2022-09-12	NA	NA	NA	NA	NA	NA	 	2022	0	TRUE	-1	NA	NA
Neuroscience	2010-05-11	2023-02-10	2010-08	10.1016/j.neuroscience.2010.04.081	2023-02-10	0306-4522	2	2010-08	78	743-750	10.1016	Elsevier BV	1	Crossref	65	65	27	General Neuroscience	Kinesthetic motor imagery modulates body sway	journal-article	http://dx.doi.org/10.1016/j.neuroscience.2010.04.081	169	NA	Neuroscience	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	E.C. Rodrigues, T. Lemos, B. Gouvea, E. Volchan, L.A. Imbiriba, C.D. Vargas	2010	27	FALSE	6.8	1,006	A3
Journal of Evidence-Based Healthcare	2019-11-21	2021-08-20	NA	10.17267/2675-021xevidence.v1i1.1983	2022-04-07	2675-021X	1	2019-04-17	7058	15-24	10.17267	Escola Bahiana de Medicina e Saude Publica	1	Crossref	0	0	0	NA	Knowledge and attitudes of entry-level and final-level physical therapy students about evidence-based practice - A cross-sectional study	journal-article	http://dx.doi.org/10.17267/2675-021xevidence.v1i1.1983	1	<jats:p>Evidence-based practice (EBP) has gained widespread acceptance in the health profession. Little is known about the attitudes, knowledge, and behavior about EBP of physical therapy students at different levels in Brazil. OBJECTIVES: To compare the EBP-related knowledge, practice, attitudes between the entry-level and final-level physical therapy students. METHODS: A cross-sectional study including 60 physical therapy students was conducted. The participants completed a questionnaire to determine their attitudes, knowledge, practice skills and barriers regarding EBP. The survey consisted of 38 items about EBP (relevance, terminology and practice skills) and 7 items related as barriers to adopt the EBP during physical therapy graduation. Total scores were calculated. For each of the three sections scores of a 5-point Likert scale were considered. RESULTS: The sample was composed of 40 students in the entry-level and 20 in the final-level. The mean age of the sample was 23.3 (SD=7.6). The mean score of the sample in the EBP survey was 83.5 (SD=20.8). We did not find difference between final-level group (mean=101.6; SD=17.8) and entry-level students (mean=74.5; SD= 15.8) (p=.45). Students of the final-level group presented higher scores in all EBP sections (relevance, terminology, practice skills). A higher mean difference was observed in terminology (-17.8) section. The most common barriers reported by the students of both groups were “lack of knowledge of statistics” (19.3%), “lack of time” (17.7%) and “language” (16%). CONCLUSION: The difference in all sections about evidence based knowledge and attitudes where not expressive between the final-level and the entry-level students. Regarding practice skills, students were not confident about their abilities in the EBP steps.</jats:p>	Evidence	2019-04-17	NA	NA	NA	NA	NA	NA	Felipe Reis, Julia Rodrigues Siqueira, Gabriela Andrade De Araújo, Leandro Calazans Nogueira, Ney Meziat Filho, Luis Correia	2019	0	TRUE	NA	NA	C
Sleep and Breathing	2018-10-06	2019-10-05	2019-06	10.1007/s11325-018-1729-0	2023-06-08	1520-9512,1522-1709	2	2018-10-06	297	543-550	10.1007	Springer Science and Business Media LLC	1	Crossref	34	34	13	Neurology (clinical),Otorhinolaryngology	Laryngopharyngeal motor dysfunction and obstructive sleep apnea in Parkinson’s disease	journal-article	http://dx.doi.org/10.1007/s11325-018-1729-0	23	NA	Sleep Breath	2018-10-06	en	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Christianne Martins Corrêa Silva Bahia, João Santos Pereira, Agnaldo José Lopes	2018	13	FALSE	4.9	0,685	A4
Fisioterapia e Pesquisa	2017-02-05	2022-07-23	2011-03	10.1590/s1809-29502011000100007	2022-07-23	1809-2950	1	2011-03	530	37-42	10.1590	FapUNIFESP (SciELO)	1	Crossref	39	39	6	General Medicine	Laserterapia de baixa intensidade na expressão de colágeno após lesão muscular cirúrgica	journal-article	http://dx.doi.org/10.1590/s1809-29502011000100007	18	<jats:p>A laserterapia é um procedimento utilizado em larga escala nas lesões musculoesqueléticas, devido as suas diversas propriedades, antiinflamatórias, cicatrizantes entre outras. Além disso, há tipos distintos de aparelhos de laser. Mesmo com os diversos modelos experimentais existentes na literatura, não há um consenso sobre a faixa de utilização, bem como o tipo de laser que promove melhor reparo no tecido muscular. Este estudo visa analisar os efeitos da laserterapia de baixa intensidade na expressão de colágeno após lesão muscular. Camundongos Swiss albinos (n=18) foram submetidos à lesão muscular cirúrgica e divididos em dois grupos, controle (C) e teste (T). Os animais foram submetidos a uma irradiação diária de 5 J/cm² pelos lasers AsGaAl 830 nm e AsGa 904 nm e, em diferentes tempos de sacrifício (7 e 14 dias). Os resultados não demonstraram diferença estatística significativa na expressão de colágeno em ambos os grupos analisados. Contudo, os dados apontam que a dose de 5 J/cm² do laser AsGa 904 nm promoveu maior deposição de fibras colágenas após 14 dias de tratamento, sugerindo que a terapia seja efetiva na síntese de colágeno. Outros estudos experimentais, em humanos, devem ser propostos para maiores inferências sobre os resultados do laser no tratamento da lesão muscular.</jats:p>	Fisioter. Pesqui.	NA	NA	NA	NA	NA	NA	NA	Flávia Fonseca Moreira, Eustáquio Luiz Paiva de Oliveira, Fabiano Sousa Barbosa, Julio Guilherme Silva	2011	6	TRUE	NA	NA	B1
Revista Brasileira de Medicina do Esporte	2015-09-30	2017-05-23	2014-08	10.1590/1517-86922014200402063	2022-03-31	1517-8692	4	2014-08	530	304-308	10.1590	FapUNIFESP (SciELO)	1	Crossref	22	22	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Lesões em tenistas amadores no Rio de Janeiro	journal-article	http://dx.doi.org/10.1590/1517-86922014200402063	20	<jats:p>INTRODUÇÃO: O treinamento desportivo em diversas modalidades está associado à presença de lesões, principalmente quando apresenta grande volume e intensidade. Poucos estudos nacionais investigaram a prevalência de lesão em tenistas, porém, as informações sobre a localização, o tipo e o mecanismo das lesões que acometem esse grupo de atletas são importantes para a prevenção e o tratamento de tais lesões.OBJETIVO: Verificar a frequência de lesão relatada por tenistas amadores no município do Rio de Janeiro.MÉTODOS: A avaliação foi realizada por meio de um questionário estruturado, com informações sobre a região corporal acometida, tipo e mecanismo de lesão, além de dados sobre a característica do treinamento. Os grupos formados, lesão e não lesão, foram comparados pelo teste t de Studentou Mann-Whitney e pelo teste Qui-quadrado ou Exato de Fisher, no programa SPSS (p&lt;0,05).RESULTADOS: Dos 159 jogadores de tênis (89,3% homens; 45,3 ± 11,4 anos de idade; 8,5 ± 6,6 anos de prática esportiva) que responderam o questionário, 38,4% relataram já ter sido acometidos por alguma lesão decorrente do tênis. As regiões mais acometidas foram: cotovelo (24,5%), joelho (11,3%) e tornozelo (6,9%). Considerando todas as lesões, a tendinite foi o tipo mais relatado (24,5%), seguido por entorse (12,6%) e lesão meniscal (4,4%). Com relação ao mecanismo de lesão, os mais prevalentes foram por repetição (25,2%) e mudança de direção (15,1%). O grupo lesão apresentou maiores valores para idade (48,8 ± 10,1 vs. 43,6 ± 11,8 anos), tempo de prática da modalidade (10,5 ± 8,5 vs. 7,2 ± 4,8 anos) e massa corporal total (86,8 ± 9,8 vs. 81,0 ± 11,0 kg).CONCLUSÃO: A prevalência de lesão em tenistas amadores no Rio de Janeiro foi de 38,4%, sendo a epicondilite lateral do cotovelo a mais frequente, em virtude da repetição do gesto esportivo.</jats:p>	Rev Bras Med Esporte	NA	NA	NA	NA	NA	NA	NA	Nelcimar Souza Queiroz, Patrícia dos Santos Vigário, Lilian Ramiro Felicio, Míriam Raquel Meira Mainenti	2014	0	TRUE	0.8	0,177	B1
International Journal of Sports Medicine	2017-05-31	2017-12-19	2017-07	10.1055/s-0043-101913	2022-03-30	0172-4622,1439-3964	07	2017-05-31	194	515-520	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	0	Orthopedics and Sports Medicine,Physical Therapy, Sports Therapy and Rehabilitation	Locomotion Mode Affects the Physiological Strain during Exercise at Walk-Run Transition Speed inElderly Men	journal-article	http://dx.doi.org/10.1055/s-0043-101913	38	<jats:title>Abstract</jats:title><jats:p>This study investigated cardiorespiratory responses and rating of perceived exertion (RPE) during prolonged walking and running exercise performed at the walk-run transition speed (WRTS) in untrained healthy elderly men. 20 volunteers (mean±SE, age: 68.4±1.2 yrs; height: 170.0±0.02 cm; body mass: 74.7±2.3 kg) performed the following bouts of exercise: a) maximal cardiopulmonary exercise test (CPET); b) specific protocol to detect WRTS; and c) two 30-min walking and running bouts at WRTS. Expired gases were collected during exercise bouts via the Ultima CardiO2 metabolic analyzer. Compared to walking, running at the WRTS resulted in higher oxygen uptake (&gt;0.27 L·min−1), pulmonary ventilation (&gt;7.7 L·min−1), carbon dioxide output (&gt;0.23 L·min−1), heart rate (&gt;15 beats·min−1), oxygen pulse (&gt;0.88 15 mL·beats−1), energy expenditure (&gt;27 kcal) and cost of oxygen transport (&gt;43 mL·kg−1·km−1·bout−1). The increase of overall and local RPEs with exercise duration was similar across locomotion modes (P&lt;0.001). In all participants, %HRR and %VO2R throughout walking and running bouts were around or above the gas exchange threshold. In conclusion, elderly men exhibited higher cardiorespiratory responses during 30-min bouts of running than walking at WRTS. Nevertheless, walking corresponded to relative metabolic intensities compatible with preservation or improvement of cardiorespiratory fitness and should be preferable over running at WRTS in the untrained elderly characterized by poor fitness and reduced exercise tolerance.</jats:p>	Int J Sports Med	2017-05-31	en	NA	NA	NA	NA	NA	Raul Freire, Paulo Farinatti, Felipe Cunha, Brenno Silva, Walace Monteiro	2017	0	FALSE	5.4	0,965	A2
Journal of Geriatric Psychiatry and Neurology	2017-10-03	2017-12-12	2017-11	10.1177/0891988717731826	2022-11-28	0891-9887,1552-5708	6	2017-10-02	179	311-315	10.1177	SAGE Publications	1	Crossref	16	16	4	Psychiatry and Mental health,Geriatrics and Gerontology,Neurology (clinical)	Low Sensitivity of the Mini-Mental State Examination for Cognitive Assessment of Brazilian Patients With Parkinson Disease	journal-article	http://dx.doi.org/10.1177/0891988717731826	30	NA	J Geriatr Psychiatry Neurol	2017-10-02	en	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA	Raphael Breder, Marco Antonio Araujo Leite, Jony Arrais Pinto, Igor Pinto Cavalcante, Bruno Lima Pessoa, Marco Antônio Orsini Neves	2017	4	FALSE	4.9	0,808	A4
